id_TMDB,id_IMDB,nome,nacionalidade,num_oscars
1160,nm0000201,Michelle Pfeiffer,"Santa Ana, California, USA",0
2622605,,Eileen Yip,,0
1344665,,Anjelia Pelay,,0
1311919,nm4273213,Greg Matthew Anderson,,0
2491568,,Pablo Hidalgo,,0
1836217,,Sam Wilkinson,,0
1213639,,Angelique Perrin,,0
1213640,nm0822812,Stephen Stanton,"Ausburg, Bavaria, West Germany",0
853194,nm0495004,Patrick Leahy,"Montpelier, Vermont, USA",0
1229,nm0000313,Jeff Bridges,"Los Angeles, California, USA",1
1230,nm0000422,John Goodman,"St. Louis, Missouri, USA",0
1233,nm0000450,Philip Seymour Hoffman,"Fairport, New York, USA",1
1237,nm0281359,Flea,"Melbourne, Victoria, Australia",0
1241,nm0001806,John Turturro,"Brooklyn, New York, USA",0
558300,nm1822140,Karlos Drinkwater,,0
1245,nm0424060,Scarlett Johansson,"New York City, New York, USA",0
230621,nm3111958,Tracey Lee Maxwell,"Christchurch, New Zealand",0
1269,nm0000126,Kevin Costner," Lynwood, California, USA",1
492791,nm3170495,Ali Fazal,"Lucknow, India",0
1279,nm0043892,Peter Aylward,,0
1283,nm0000307,Helena Bonham Carter,"Golders Green, London, England, UK",0
230660,nm3101617,Shiori Kutsuna," Sydney, Australia",0
1180936,nm0614702,Sean Patrick Murphy,,0
202156,nm1924001,Carmen Lavigne,,0
1294,nm0701512,Missi Pyle,"Houston, Texas, USA",0
1803535,nm0329339,Thomas Goodridge,,0
1295,nm0746989,Deep Roy,"Nairobi, Kenya",0
1300,nm0041864,John August,"Boulder, Colorado, USA",0
230681,nm2553988,Pip Carter,,0
1312032,nm3644099,Nick Horst,,0
1313,nm0504226,Andrew Lesnie,"Sydney, Australia",1
2196772,,Rhonda Taylor," Vancouver, British Columbia, Canada",0
1320,nm0496769,Alan Lee,"London, England, UK",1
230697,nm0137085,Gary Cargill,,0
1803562,,Vivien Parry,,0
1803563,,Jacqui Jameson,,0
1803564,,Sharon Gomez,,0
1327,nm0005212,Ian McKellen,"Burnley, Lancashire, England, UK",0
1803568,,Steven Butler,,0
1328,nm0000276,Sean Astin,"Santa Monica, California, USA",0
1329,nm0101710,Billy Boyd,"Glasgow, Scotland, UK",0
1331,nm0915989,Hugo Weaving,"Ibadan, Nigeria",0
1803572,,Leo Andrew,,0
1333,nm0785227,Andy Serkis,"Ruislip, Middlesex, England, UK",0
1332,nm0662164,Craig Parker,"Suva, Viti Levu, Fiji",0
1330,nm0597480,Dominic Monaghan,"Berlin, Germany",0
1803576,,Wendy Baldock,,0
951607,nm0416713,Loren Janes,"Sierra Madre, California, USA",0
1803579,,Daniel Ioannou,,0
1049916,nm2193120,Hannah Gross,"West Bloomfield, Michigan, USA",0
1341,nm0947447,Donnie Yen,"Yuexiu District, Guangzhou, China",0
1574206,nm2339366,Paul Warren,"Hillingdon, Middlesex, London, England, UK",0
1803584,,Dale Branston,,0
1803585,,Sandy Strallen,,0
1803586,,Jemma Alexander,,0
1803589,nm7263764,Chris Andrew Mellon,,0
1803591,,Alison Harding,,0
2655569,,Elizabeth Richard,,0
1082706,nm4977287,Kelly Richardson,,0
1365,nm0538692,Lawrence Makoare,"Baston Point, Auckland, New Zealand",0
1366,nm1019674,Sala Baker,Wellington - New Zealand,0
1803607,,Obioma Ugoala,,0
1367,nm0397102,Alan Howard,"London, England, UK",0
1369,nm0384060,Bernard Hill,"Manchester, England, United Kingdom",0
1370,nm0000374,Brad Dourif,"Huntington, West Virginia, USA",0
1371,nm0920992,David Wenham,"Marrickville, Sydney, Australia",0
1372,nm0881631,Karl Urban,"Wellington, New Zealand",0
1803613,,Alexis Loizon,,0
1803614,,Dean Street,,0
1373,nm0377172,Dan Hennah,"Hastings, New Zealand",1
1377,nm1288150,Jabez Olssen,,0
1381,nm0633604,John Noble,Port Pirie - South Australia - Australia,0
1382,nm0635264,Paul Norell,"London, England, UK",0
1383,nm0992718,Thomas Robins,,0
165242,nm0325707,Meta Golding,"Port-Au-Prince, Haiti",0
1312122,nm5520750,Frederick Schmidt,,0
1738113,nm0636005,Frédéric North,,0
1377670,nm0281909,Glenn Fleshler,"Queens, NY",0
165263,nm0044318,Anthony Azizi,"New York City, New York, USA ",0
198034,nm0277730,Bill Finger,"Denver, Colorado, United States",0
1377686,nm3057022,Sarah Goldberg,"Vancouver, British Columbia, Canada",0
1430,nm0724189,Keith Richards,"Dartford, Kent, England, United Kingdom",0
165282,nm0424499,Andray Johnson,"Chicago, Illinois, USA",0
2852261,nm7951678,Godiva Marshall,,0
1639847,nm5584344,Yahya Abdul-Mateen II,"New Orleans, Louisiana, USA",0
165293,nm0286171,Nicole Forester,"Ann Arbor, Michigan, USA",0
1344943,nm3969337,Scott Churchson,,0
1574323,nm2799182,Yennis Cheung,,0
34259,nm0077873,Jean-Yves Berteloot,"Saint Omer, Pas de Calais, France",0
1738205,,Tom Whalen,,0
1738211,,Stuart Budd,,0
2229734,,Toby Hosking,,0
1672696,,Seretta Wilson,,0
1738234,nm3594925,Rosy Benjamin,,0
1532,nm0000195,Bill Murray,"Wilmette, Illinois, USA",0
2000381,,Ruth Atkinson,,0
1017347,nm4154798,Brenton Thwaites,"Cairns, Queensland, Australia",0
1705478,,Boris Jacq,,0
2295305,,Phoebe Gittins,,0
1312266,nm3744128,Marama Corlett,"Valletta, Malta, Spain",0
1410580,nm1146450,Alexander Vegh,,0
132632,nm1397761,Aron Eastwood,,0
132639,nm0691597,Allan Poppleton,"Auckland City, Auckland, New Zealand",0
1181220,nm1121631,James Ryan,,0
984614,nm3823418,Miles Elliot,,0
1148455,nm5200476,Wyatt Oleff,"Chicago, Illinois, U.S.",0
1579,nm0350454,Maggie Gyllenhaal,"Lower East Side, New York City, New York, USA",0
1639982,,Kieri Kennedy,,0
165424,nm0764527,Danny Sapani,"London, England, UK",0
67123,nm0456270,William Kircher,,0
67126,nm0058910,Timothy Bartlett,,0
1836598,nm2177081,Jon Olson,,0
1598,nm0820574,David St. James,"Honolulu, Hawaii, USA",0
67134,nm2348569,Richard Knowles,,0
1345090,nm5226061,Haley Madison,"Denver, Colorado, USA",0
1619,nm0000334,Chow Yun-Fat,"Lamma Island, Hong Kong, British Crown Colony [now China]",0
1620,nm0000706,Michelle Yeoh,"Ipoh, Perak, Malaysia",0
1115738,nm2514109,Robert Stambler,,0
99932,nm1071784,Toni Wynne,"Pensacola, Florida, USA",0
1640,nm0001745,Stellan Skarsgård,"Gothenburg, Västra Götalands län, Sweden",0
2000489,nm9615197,Julianne Binard,"Bordeaux, Gironde, France",0
1643,nm0712628,Adrian Rawlins,"Stoke-on-Trent, Staffordshire, England, UK",0
1665,nm0550371,Eddie Marsan,"Stepney, East London, England",0
1083010,nm4004793,Letitia Wright,"Georgetown, Guyana",0
1666,nm0001046,Julie Christie,"Chabua, Assam, India",1
1670,nm0990547,Daniel Mays,"Epping, Essex, England, UK",0
67206,nm0397110,Andrew Howard,"Cardiff, Wales, UK",0
67212,nm0943179,Tom Wu,,0
1181327,nm2031358,Lamorne Morris,"Chicago, Illinois, USA ",0
1443472,nm2584273,Erik Langley,,0
1443485,nm1690878,Colette Whitaker,,0
1704,nm0893659,Gore Verbinski,"Oak Ridge, Tennessee, USA",1
1705,nm0254645,Ted Elliott,"Santa Ana, California, USA",0
1246890,nm0571344,Chris McKenna,,0
1707,nm0064181,Stuart Beattie,,0
1706,nm0744429,Terry Rossio,"Kalamazoo, Michigan, USA",0
