id_TMDB,id_IMDB,titulo,titulo_original,sinopse,duracao,ano,classificacao,situacao,idioma_original,orcamento,receita,num_oscars
10193,tt0435761,Toy Story 3,Toy Story 3,"Quando Andy se prepara para ir para a faculdade, Woody, Buzz, Jessie e o restante dos leais brinquedos de Andy pensam o que irá acontecer com eles. Mas quando uma confusão faz com que eles sejam levados à creche Sunnyside, eles conhecem um anfitrião de novos brinquedos e logo descobrem que uma nova aventura selvagem está apenas começando!",103,2010,United States:G,Released,en,200000000,1066969703,2.0
58,tt0383574,Piratas do Caribe: O Baú da Morte,Pirates of the Caribbean: Dead Man's Chest,"Will e Elizabeth estão prestes a se casar quando o lendário pirata Davy Jones, comandante do invencível navio assombrado, aparece para cobrar uma dívida do capitão Jack Sparrow, amigo do casal. A única chance de Sparrow se livrar de uma maldição de Jones é encontrando o baú da morte.",151,2006,United States:PG-13,Released,en,200000000,1065659812,1.0
330459,tt3748528,Rogue One: Uma História Star Wars,Rogue One: A Star Wars Story,"Em busca de uma nova esperança para a galáxia, a Aliança Rebelde enfrenta uma arriscada missão: roubar os planos que revelam uma falha na construção da Estrela da Morte. Para isso, eles contam com a ajuda de Jyn Erso, filha do criador da arma mais poderosa do império.",133,2016,United States:PG-13,Released,en,200000000,1056057273,0.0
420817,tt6139732,Aladdin,Aladdin,"Um jovem humilde descobre uma lâmpada mágica, com um gênio que pode lhe conceder desejos. Agora o rapaz quer conquistar a moça por quem se apaixonou, mas o que ele não sabe é que a jovem é uma princesa que está prestes a se noivar. Com a ajuda do Gênio, ele tenta se passar por um príncipe para conquistar o amor da moça e a confiança do pai dela.",129,2019,United States:PG,Released,en,183000000,1047612394,0.0
1865,tt1298650,Piratas do Caribe: Navegando em Águas Misteriosas,Pirates of the Caribbean: On Stranger Tides,"O passado do capitão Jack Sparrow volta a alcançá-lo quando ele cruza com Angelica, uma bonita pirata que Jack, um dia, amou e depois abandonou. Ela, então, o força a acompanhá-la ao navio Vingança da Rainha Ana, do famoso Barba Negra. Junto com uma tripulação de zumbis, o trio parte em busca da lendária Fonte da Juventude. Mas o rival de Jack, Barbossa, também cobiça a fonte, assim como um navio espanhol.",136,2011,United States:PG-13,Released,en,380000000,1045713802,0.0
324852,tt3469046,Meu Malvado Favorito 3,Despicable Me 3,"O ex-ator mirim e astro de TV, Balthazar Bratt, foi um típico malvado bem-sucedido nos anos 80 e agora está de volta à ativa. Ele vai aterrorizar a vida de Gru, Agnes, Margo, Edith, Dr. Nefario e os atrapalhados Minions. Em meio a tudo isso, Gru também vai encontrar o seu irmão gêmeo, Drew.",96,2017,United States:TV-G,Released,en,80000000,1031552585,0.0
127380,tt2277860,Procurando Dory,Finding Dory,"Amigável, porém esquecida, Dory começa uma busca por seus pais há muito perdidos, e todo mundo aprende alguma coisa sobre o real significado da família ao longo da jornada.",97,2016,United States:TV-G,Released,en,200000000,1028570889,0.0
12155,tt1014759,Alice no País das Maravilhas,Alice in Wonderland,"A Alice de 19 anos de idade, que regressa ao excêntrico mundo que encontrou pela primeira vez quando era criança reunindo-se assim com os seus amigos de infância: o Coelho Branco, Tweedledee e Tweedledum, a Ratazana, a Lagarta, o Gato Cheshire, e claro, o Chapeleiro Louco. Alice embarca numa fantástica viagem para encontrar o seu verdadeiro destino e acabar com o reino de terror da Rainha Vermelha.",109,2010,United States:TV-PG,Released,en,200000000,1025467110,2.0
269149,tt2948356,Zootopia: Essa Cidade é o Bicho,Zootopia,"Judy Hopps é a pequena coelha de uma fazenda isolada, filha de agricultores que plantam cenouras há décadas. Mas ela tem sonhos maiores: pretende se mudar para a cidade grande, Zootopia, onde todas as espécies de animais convivem em harmonia, na intenção de se tornar a primeira coelha policial. Judy enfrenta o preconceito e as manipulações dos outros animais, mas conta com a ajuda inesperada da raposa Nick Wilde, conhecida por sua malícia e suas infrações. A inesperada dupla se dedica à busca de um animal desaparecido, descobrindo uma conspiração que afeta toda a cidade.",108,2016,United States:TV-G,Released,en,150000000,1023784195,1.0
49051,tt0903624,O Hobbit: Uma Jornada Inesperada,The Hobbit: An Unexpected Journey,"Como a maioria dos hobbits, Bilbo Bolseiro leva uma vida tranquila até o dia em que recebe uma missão do mago Gandalf. Acompanhado por um grupo de anões, ele parte numa jornada até a Montanha Solitária para libertar o Reino de Erebor do dragão Smaug.",182,2012,United States:PG-13,Released,en,250000000,1021103568,0.0
