nome_genero,id_filme_TMDB
Ficção científica,580489
Ação,580489
Aventura,580489
História,82695
Drama,82695
Terror,9552
Comédia,788
Drama,788
Família,788
Ficção científica,87101
Ação,87101
Thriller,87101
Aventura,87101
Ação,296
Thriller,296
Ficção científica,296
Drama,332562
Romance,332562
Música,332562
Ação,68735
Aventura,68735
Fantasia,68735
Ação,447404
Aventura,447404
Fantasia,447404
Drama,316029
Aventura,36669
Ação,36669
Thriller,36669
Ação,566525
Aventura,566525
Fantasia,566525
Aventura,8358
Drama,8358
Ação,143830
Animação,143830
Ficção científica,143830
Música,715904
Drama,77338
Comédia,77338
Thriller,38700
Ação,38700
Crime,38700
Ação,427641
Drama,68718
Faroeste,68718
Aventura,605
Ação,605
Thriller,605
Ficção científica,605
Romance,10020
Família,10020
Animação,10020
Fantasia,10020
Aventura,581
Drama,581
Faroeste,581
Ação,1271
Aventura,1271
Guerra,1271
Aventura,2454
Família,2454
Fantasia,2454
Aventura,564
Ação,564
Fantasia,564
Aventura,10140
Família,10140
Fantasia,10140
Ação,324668
Thriller,324668
Ação,76170
Ficção científica,76170
Aventura,76170
Fantasia,76170
Comédia,4564
Drama,4564
Romance,4564
Crime,207703
Comédia,207703
Ação,207703
Aventura,207703
Drama,45269
História,45269
Aventura,18360
Fantasia,18360
Ação,18360
Comédia,18360
Família,18360
Fantasia,268
Ação,268
Thriller,619
Ação,619
Drama,619
Música,619
Romance,619
Ação,343668
Aventura,343668
Comédia,343668
Crime,343668
Thriller,343668
Fantasia,282035
Thriller,282035
Ação,282035
Aventura,282035
Terror,282035
Aventura,278154
Animação,278154
Família,278154
Comédia,278154
Ficção científica,278154
Drama,2675
Thriller,2675
Ficção científica,2675
Mistério,2675
Aventura,36658
Ação,36658
Ficção científica,36658
Thriller,36658
Ação,68726
Ficção científica,68726
Aventura,68726
Ação,399579
Ficção científica,399579
Aventura,399579
Aventura,1735
Ação,1735
Fantasia,1735
Ficção científica,70981
Aventura,70981
Mistério,70981
Aventura,20526
Ação,20526
Ficção científica,20526
Aventura,956
Ação,956
Thriller,956
Aventura,58595
Fantasia,58595
Drama,58595
Comédia,458423
Romance,458423
Fantasia,8966
Drama,8966
Romance,8966
Ficção científica,348350
Aventura,348350
Ação,348350
Crime,348350
Crime,106646
Drama,106646
Comédia,106646
Ficção científica,1452
Ação,1452
Aventura,1452
Ação,8367
Aventura,8367
Drama,8367
Romance,8367
Aventura,85
Ação,85
Ação,47933
Aventura,47933
Ficção científica,47933
Ficção científica,373571
Ação,373571
Ficção científica,13475
Ação,13475
Aventura,13475
Animação,9836
Comédia,9836
Família,9836
Animação,260514
Aventura,260514
Comédia,260514
Família,260514
Ação,1571
Thriller,1571
Animação,425
Comédia,425
Família,425
Aventura,425
Animação,15512
Família,15512
Aventura,15512
Ficção científica,15512
Aventura,105
Comédia,105
Ficção científica,105
Família,105
Ficção científica,929
Ação,929
Thriller,929
Ação,36955
Thriller,36955
Ação,76341
Aventura,76341
Ficção científica,76341
Drama,341174
Romance,341174
Drama,12405
Romance,12405
Ação,497698
Aventura,497698
Ficção científica,497698
Ação,82675
Crime,82675
Thriller,82675
Ação,324857
Aventura,324857
Animação,324857
Ficção científica,324857
Comédia,324857
Guerra,530915
Drama,530915
Ação,530915
Thriller,530915
Comédia,466272
Drama,466272
Thriller,466272
Ação,272
Crime,272
Drama,272
Comédia,3981
Romance,3981
Animação,862
Aventura,862
Família,862
Comédia,862
Família,270946
Animação,270946
Aventura,270946
Comédia,270946
Aventura,2080
Ação,2080
Thriller,2080
Ficção científica,2080
Aventura,2268
Fantasia,2268
Aventura,17578
Animação,17578
Mistério,17578
Ficção científica,72559
Aventura,72559
Ação,72559
Thriller,72559
Ação,534
Ficção científica,534
Thriller,534
Ação,1771
Aventura,1771
Ficção científica,1771
Ação,137113
Ficção científica,137113
Romance,544
Comédia,544
Mistério,210577
Thriller,210577
Drama,210577
Drama,5503
Ação,5503
Thriller,5503
Fantasia,228161
Comédia,228161
Animação,228161
Ficção científica,228161
Família,228161
Aventura,331
Ação,331
Thriller,331
Ficção científica,331
Comédia,8346
Drama,8346
Romance,8346
Drama,337167
Romance,337167
Comédia,8488
Drama,8488
Romance,8488
Animação,10555
Ação,10555
Comédia,10555
Família,10555
Ação,1572
Thriller,1572
Ação,287947
Comédia,287947
Fantasia,287947
Terror,439079
Mistério,439079
Thriller,439079
Romance,509
Comédia,509
Drama,509
Aventura,9487
Animação,9487
Comédia,9487
Família,9487
Aventura,181533
Comédia,181533
Fantasia,181533
Família,181533
Ação,13804
Crime,13804
Drama,13804
Thriller,13804
Ação,577922
Thriller,577922
Ficção científica,577922
